Order_ID,Order_Date,Year,Month,Product,Category,Region,Sales,Quantity,Order_Type
1001,2023-01-05,2023,January,Laptop,Electronics,North,55000,2,Online
1002,2023-01-12,2023,January,Mouse,Accessories,South,1500,5,Offline
1003,2023-02-08,2023,February,Keyboard,Accessories,East,3000,4,Online
1004,2023-02-15,2023,February,Monitor,Electronics,West,18000,3,Online
1005,2023-03-03,2023,March,Printer,Electronics,North,12000,2,Offline
1006,2023-03-18,2023,March,Laptop,Electronics,South,27500,1,Online
1007,2023-04-10,2023,April,Tablet,Electronics,East,22000,2,Online
1008,2023-04-25,2023,April,Mouse,Accessories,West,1200,4,Offline
1009,2023-05-07,2023,May,Keyboard,Accessories,North,3750,5,Online
1010,2023-05-20,2023,May,Monitor,Electronics,South,24000,4,Online
1011,2024-01-08,2024,January,Laptop,Electronics,East,82500,3,Online
1012,2024-01-19,2024,January,Printer,Electronics,West,18000,3,Offline
1013,2024-02-05,2024,February,Tablet,Electronics,North,33000,3,Online
1014,2024-02-22,2024,February,Mouse,Accessories,South,1800,6,Offline
1015,2024-03-11,2024,March,Keyboard,Accessories,East,4500,6,Online
1016,2024-03-29,2024,March,Monitor,Electronics,West,30000,5,Online
1017,2024-04-14,2024,April,Laptop,Electronics,North,55000,2,Offline
1018,2024-04-28,2024,April,Tablet,Electronics,South,44000,4,Online
1019,2024-05-16,2024,May,Printer,Electronics,East,24000,4,Online
1020,2024-05-30,2024,May,Mouse,Accessories,West,2100,7,Offline
